month_year,books_scanned
2018-09,227
2018-10,2898
2018-11,4257
2018-12,8445
2019-01,14407
2019-02,13386
2019-03,19193
2019-04,18117
2019-05,23706
2019-06,27362
2019-07,39939
2019-08,38696
2019-09,33023
2019-10,31495
2019-11,63702
2019-12,75583
2020-01,72754
2020-02,54005
2020-03,45815
2020-04,10325
2020-05,24771
2020-06,73231
2020-07,73730
2020-08,72954
2020-09,92107
2020-10,96485
2020-11,93910
2020-12,81908
2021-01,93942
2021-02,85956
2021-03,90741
2021-04,53335
2021-05,80692
2021-06,86809
2021-07,81742
2021-08,71164
2021-09,79661
2021-10,86884
2021-11,74497
2021-12,50237
2022-01,66169
2022-02,65510
2022-03,90384
2022-04,70874
2022-05,81021
2022-06,93849
2022-07,96890
2022-08,103647
2022-09,89677
2022-10,97143
2022-11,79948
2022-12,66521
2023-01,86943
2023-02,71686
2023-03,76119
2023-04,10573
