month_year,scandate
2019-03,352
2019-04,1128
2019-05,1458
2019-06,955
2019-07,1482
2019-08,1881
2019-09,1531
2019-10,1831
2019-11,3039
2019-12,3870
2020-01,2485
2020-03,2436
2020-04,3578
2020-05,3455
2020-06,3470
2020-07,2928
2020-08,2180
2020-09,361
2020-10,1059
2020-11,1919
2020-12,336
2021-01,713
2021-02,23
2021-03,1164
2021-04,662
2021-05,798
2021-06,881
2021-07,2054
2021-08,2206
2021-09,1828
2021-10,1256
2021-11,1797
2021-12,2079
2022-01,1898
2022-02,1515
2022-03,1488
2022-04,2275
2022-05,813
2022-06,1664
2022-07,1468
2022-08,2488
2022-09,3098
2022-10,3228
2022-11,1141
2022-12,1326
2023-01,219
2023-02,241
2023-03,86
2023-04,1374
