donor,month_year,books
allen_county,2017-02,15
allen_county,2017-04,32
allen_county,2017-05,91
allen_county,2017-06,79
allen_county,2017-07,7
allen_county,2017-08,22
allen_county,2017-09,45
allen_county,2017-10,28
allen_county,2017-11,2
allen_county,2017-12,2
allen_county,2018-01,6
allen_county,2018-02,1
allen_county,2018-04,2
allen_county,2018-07,7
allen_county,2018-08,1
allen_county,2018-10,5
allen_county,2018-11,1
belvederetiburonlibrary,2016-08,3
belvederetiburonlibrary,2016-12,6
belvederetiburonlibrary,2017-03,1
belvederetiburonlibrary,2017-04,23
belvederetiburonlibrary,2017-05,7
belvederetiburonlibrary,2017-11,5
belvederetiburonlibrary,2018-01,2
belvederetiburonlibrary,2018-02,1
belvederetiburonlibrary,2018-06,1
belvederetiburonlibrary,2018-09,1
belvederetiburonlibrary,2018-10,3
belvederetiburonlibrary,2018-11,2
bwb,2017-05,10
bwb,2017-06,2
bwb,2017-10,1
bwb,2017-11,2
bwb,2017-12,3
bwb,2018-10,1
internetarchivebookdrive,2016-08,10
internetarchivebookdrive,2017-03,5
internetarchivebookdrive,2017-05,54
internetarchivebookdrive,2017-06,2
internetarchivebookdrive,2017-08,1
internetarchivebookdrive,2017-09,2
internetarchivebookdrive,2017-10,6
internetarchivebookdrive,2017-11,4
internetarchivebookdrive,2017-12,1
internetarchivebookdrive,2018-01,4
internetarchivebookdrive,2018-08,1
internetarchivebookdrive,2018-09,1
bostonpubliclibrary,2015-04,1
bostonpubliclibrary,2016-08,10
bostonpubliclibrary,2016-09,28
bostonpubliclibrary,2016-10,18
bostonpubliclibrary,2016-12,72
bostonpubliclibrary,2017-01,10
bostonpubliclibrary,2017-02,43
bostonpubliclibrary,2017-03,16
bostonpubliclibrary,2017-04,3
bostonpubliclibrary,2017-05,8
bostonpubliclibrary,2017-06,80
bostonpubliclibrary,2017-08,3
bostonpubliclibrary,2017-09,1
bostonpubliclibrary,2017-10,2
bostonpubliclibrary,2017-11,4
bostonpubliclibrary,2017-12,2
bostonpubliclibrary,2018-01,2
bostonpubliclibrary,2018-06,2
bostonpubliclibrary,2018-10,1
Peninsula Library System,2016-11,2
Peninsula Library System,2016-12,1
Peninsula Library System,2017-02,1
Peninsula Library System,2017-03,5
Peninsula Library System,2017-05,152
Peninsula Library System,2017-06,16
Peninsula Library System,2017-07,8
Peninsula Library System,2017-08,101
Peninsula Library System,2017-09,26
Peninsula Library System,2017-10,25
Peninsula Library System,2017-11,5
Peninsula Library System,2017-12,5
Peninsula Library System,2018-01,10
Peninsula Library System,2018-02,3
Peninsula Library System,2018-03,1
Peninsula Library System,2018-04,6
Peninsula Library System,2018-05,1
Peninsula Library System,2018-06,1
Peninsula Library System,2018-07,2
Peninsula Library System,2018-08,1
Peninsula Library System,2018-09,1
Peninsula Library System,2018-10,8
Peninsula Library System,2018-11,2
San Mateo Public,2017-04,1
San Mateo Public,2017-05,35
San Mateo Public,2017-06,9
San Mateo Public,2017-09,4
San Mateo Public,2017-10,1
San Mateo Public,2017-11,1
San Mateo Public,2018-07,3
San Mateo Public,2018-10,2
San Rafael Public Library,2017-06,15
San Rafael Public Library,2017-09,1
San Rafael Public Library,2017-10,4
San Rafael Public Library,2018-10,1
San Rafael Public Library,unknown,1
Tony Meadows,2016-08,9
Tony Meadows,2017-01,1
Tony Meadows,2017-03,2
Tony Meadows,2017-04,2
Tony Meadows,2017-12,1
Tony Meadows,2018-06,1
Vermont Public,2017-01,1
Vermont Public,2017-03,3
Vermont Public,2017-10,1
belvederetiburonlibrary,2017-01,1
belvederetiburonlibrary,2017-03,2
kensington_library,2016-06,61
kensington_library,2016-07,4
kensington_library,2016-08,22
kensington_library,2017-02,1
kensington_library,2017-03,28
kensington_library,2017-04,32
kensington_library,2017-05,2
kensington_library,2017-07,2
kensington_library,2017-09,4
kensington_library,2017-10,39
