,scanningcenter,year,identifier
0,Hong Kong,2011,2
1,Hong Kong,2012,2
2,Hong Kong,2013,1
3,Hong Kong,2014,1
4,Hong Kong,2015,1
5,alberta,2008,1465
6,alberta,2009,19852
7,alberta,2010,12512
8,alberta,2011,12372
9,alberta,2012,19607
10,alberta,2013,11361
11,alberta,2014,1517
12,alberta,2015,4444
13,alberta,2016,6800
14,alberta,2017,5802
15,alberta,2018,3189
16,alberta,2019,6893
17,alberta,2020,2958
18,alberta,2021,1929
19,alberta,2022,5987
20,alberta,2023,4392
21,amherst,2011,80
22,amherst,2012,672
23,amherst,2013,344
24,arch,2006,29
25,arch,2007,17
26,arch,2008,110
27,bali,2012,560
28,beijing,2010,379
29,beijing,2011,891
30,beijing,2012,1
31,beijing,2014,1
32,beltsville,2012,104
33,beltsville,2013,31034
34,beltsville,2014,32456
35,beltsville,2015,28779
36,beltsville,2016,23116
37,beltsville,2017,30034
38,beltsville,2018,16654
39,beltsville,2019,12140
40,beltsville,2020,10791
41,beltsville,2021,12646
42,beltsville,2022,13584
43,beltsville,2023,5635
44,boston,2007,3963
45,boston,2008,30910
46,boston,2009,28607
47,boston,2010,19571
48,boston,2011,21643
49,boston,2012,18688
50,boston,2013,20820
51,boston,2014,13533
52,boston,2015,11877
53,boston,2016,12660
54,boston,2017,8719
55,boston,2018,8061
56,boston,2019,9418
57,boston,2020,4287
58,boston,2021,8996
59,boston,2022,23919
60,boston,2023,4898
61,brussels,2012,378
62,brussels,2013,1036
63,capitolhill,2002,4
64,capitolhill,2007,214
65,capitolhill,2008,24648
66,capitolhill,2009,41088
67,capitolhill,2010,24776
68,capitolhill,2011,29405
69,capitolhill,2012,31816
70,capitolhill,2013,15548
71,capitolhill,2014,12176
72,capitolhill,2015,7939
73,capitolhill,2016,6278
74,capitolhill,2017,6031
75,capitolhill,2018,4786
76,capitolhill,2019,5502
77,capitolhill,2020,1557
78,cebu,2018,15814
79,cebu,2019,346764
80,cebu,2020,736827
81,cebu,2021,895739
82,cebu,2022,929630
83,cebu,2023,348162
84,chapelhill,2007,21
