month_year,books_scanned
2009-07,7
2010-03,3
2010-04,31
2010-07,98
2010-08,286
2010-09,592
2010-10,248
2010-11,1128
2010-12,3327
2011-01,3388
2011-02,2822
2011-03,7265
2011-04,9238
2011-05,6594
2011-06,8964
2011-07,14272
2011-08,14830
2011-09,15032
2011-10,17039
2011-11,16266
2011-12,14771
2012-01,5087
2012-02,11791
2012-03,20185
2012-04,20447
2012-05,22920
2012-06,20662
2012-07,20104
2012-08,26487
2012-09,22912
2012-10,13457
2012-11,56
2012-12,4690
2013-01,1417
2013-02,195
2013-03,1272
2013-04,1483
2013-05,178
2013-06,1082
2013-07,1654
2013-08,1732
2013-09,1850
2013-10,3173
2013-11,3095
2013-12,3442
2014-01,3109
2014-02,394
2014-03,3057
2014-04,2726
2014-05,1979
2014-06,1983
2014-07,1554
2014-08,2265
2014-09,2819
2014-10,1272
2014-11,1346
2014-12,1228
2015-01,1577
2015-02,1495
2015-03,3311
2015-04,1552
2015-05,261
2015-06,501
2015-07,544
2015-08,2149
2015-09,3449
2015-10,3929
2015-11,3907
2015-12,4343
2016-01,3243
2016-02,1350
2016-03,940
2016-04,1
2016-05,2
2016-06,3
2016-07,40
2016-08,9
2016-10,3
2016-11,12
2016-12,19
2017-04,8
2017-05,1
2019-10,1
